ticker,company,sector,price,recommendation,conviction_score,technical_score,fundamental_score,quality_score,risk_score,volume_score,pattern_score,ml_score,premarket_score,options_score,news_score,rotation_score,volatility_score,insider_score,institutional_score,social_score,macro_score,congressional_score,ml_probability,holding_period_days,exit_strategy,exit_plan,entry_price,stop_loss_price,target_price,exit_review_days,technical_drivers,risk_reward_ratio,pattern_signals,unusual_volume_ratio,pre_market_change_pct,pre_market_volume,forecast_volatility,key_catalysts
AAPL,Apple Inc.,Technology,255.4600067138672,BUY,67.81,70.0,56.0,68.0,65.0,50.0,74.0,47.6,50,65.0,77.2,50.0,50,50.0,50,86.0,60,50,0.4882,21,Enter near $255.46; place stop around $244.55 (2×ATR); target about $271.82 (3×ATR); reassess after 21 days.,Enter near $255.46; place stop around $244.55 (2×ATR); target about $271.82 (3×ATR); reassess after 21 days.,255.46,244.55,271.82,21,"RSI 67 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 1M +9.8% momentum; 3M +24.5% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 49%",2.0,"Double Bottom, Cup & Handle",0.75,,,0.275,"Double Bottom, Cup & Handle; Unusual options flow"
MO,"Altria Group, Inc.",Consumer Defensive,65.70999908447266,BUY,67.73,85.0,60.0,60.0,80.0,50.0,74.0,46.0,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.4802,10,Enter near $65.71; place stop around $63.60 (2×ATR); target about $68.87 (3×ATR); reassess after 10 days.,Enter near $65.71; place stop around $63.60 (2×ATR); target about $68.87 (3×ATR); reassess after 10 days.,65.71,63.6,68.87,10,"RSI 50; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +12.1% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.66,,,0.186,"Double Bottom, Cup & Handle"
ABT,Abbott Laboratories,Healthcare,133.5500030517578,BUY,67.23,77.0,66.0,68.0,80.0,50.0,62.0,47.2,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.4861,9,Enter near $133.55; place stop around $128.16 (2×ATR); target about $141.63 (3×ATR); reassess after 9 days.,Enter near $133.55; place stop around $128.16 (2×ATR); target about $141.63 (3×ATR); reassess after 9 days.,133.55,128.16,141.63,9,RSI 54; Price above 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom; ML upside odds 49%,2.0,Double Bottom,0.78,,,0.181,Double Bottom
AMZN,"Amazon.com, Inc.",Consumer Cyclical,219.77999877929688,BUY,67.11,91.0,56.0,68.0,65.0,50.0,50.0,49.7,50,50.0,50.0,50.0,50,70.0,50,50.0,50,50,0.4985,8,Enter near $219.78; place stop around $210.00 (2×ATR); target about $234.46 (3×ATR); reassess after 8 days.,Enter near $219.78; place stop around $210.00 (2×ATR); target about $234.46 (3×ATR); reassess after 8 days.,219.78,210.0,234.46,8,"RSI 28 (oversold rebound); Price below 50-day trend; Golden cross bias (50d > 200d); 1M -5.1% pullback; Patterns: Double Top, Cup & Handle; ML upside odds 50%",2.0,"Double Top, Cup & Handle",0.93,,,0.266,"Double Top, Cup & Handle; Insider accumulation"
ALLE,Allegion plc,Industrials,175.00999450683594,BUY,66.49,85.0,50.0,68.0,65.0,50.0,74.0,47.5,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.4876,9,Enter near $175.01; place stop around $168.25 (2×ATR); target about $185.15 (3×ATR); reassess after 9 days.,Enter near $175.01; place stop around $168.25 (2×ATR); target about $185.15 (3×ATR); reassess after 9 days.,175.01,168.25,185.15,9,"RSI 54; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +21.4% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 49%",2.0,"Double Bottom, Cup & Handle",0.67,,,0.212,"Double Bottom, Cup & Handle"
CDNS,"Cadence Design Systems, Inc.",Technology,350.1099853515625,BUY,66.3,85.0,40.0,78.0,55.0,50.0,74.0,58.4,50,50.0,50.0,50.0,50,50.0,50,50.0,60,50,0.542,8,Enter near $350.11; place stop around $326.44 (2×ATR); target about $385.62 (3×ATR); reassess after 8 days.,Enter near $350.11; place stop around $326.44 (2×ATR); target about $385.62 (3×ATR); reassess after 8 days.,350.11,326.44,385.62,8,"RSI 45; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +13.6% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 54%",2.0,"Double Bottom, Cup & Handle",0.66,,,0.387,"Double Bottom, Cup & Handle"
BX,Blackstone Inc.,Financial Services,175.32000732421875,BUY,66.29,85.0,46.0,78.0,59.0,45.0,74.0,55.6,50,50.0,50.0,50.0,50,50.0,50,50.0,55,50,0.5278,9,Enter near $175.32; place stop around $165.65 (2×ATR); target about $189.83 (3×ATR); reassess after 9 days.,Enter near $175.32; place stop around $165.65 (2×ATR); target about $189.83 (3×ATR); reassess after 9 days.,175.32,165.65,189.83,9,"RSI 53; Price above 50-day trend; Golden cross bias (50d > 200d); 3M +17.2% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 53%",2.0,"Double Bottom, Cup & Handle",0.58,,,0.278,"Double Bottom, Cup & Handle"
MMM,3M Company,Industrials,152.80999755859375,BUY,66.17,72.0,60.0,68.0,75.0,50.0,74.0,48.0,50,50.0,50.0,50.0,70,50.0,50,50.0,50,50,0.4898,9,Enter near $152.81; place stop around $146.06 (2×ATR); target about $162.94 (3×ATR); reassess after 9 days.,Enter near $152.81; place stop around $146.06 (2×ATR); target about $162.94 (3×ATR); reassess after 9 days.,152.81,146.06,162.94,9,"RSI 47; Price below 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 49%",2.0,"Double Bottom, Cup & Handle",0.74,,,0.22,"Double Bottom, Cup & Handle"
GOOGL,Alphabet Inc.,Communication Services,246.5399932861328,BUY,66.06,74.0,56.0,78.0,65.0,50.0,74.0,55.2,50,50.0,50.0,50.0,50,50.0,50,50.0,50,50,0.5261,21,Enter near $246.54; place stop around $235.74 (2×ATR); target about $262.74 (3×ATR); reassess after 21 days.,Enter near $246.54; place stop around $235.74 (2×ATR); target about $262.74 (3×ATR); reassess after 21 days.,246.54,235.74,262.74,21,"RSI 68 (momentum run); Price above 50-day trend; Golden cross bias (50d > 200d); 1M +16.5% momentum; 3M +39.9% momentum; Patterns: Double Bottom, Cup & Handle; ML upside odds 53%",2.0,"Double Bottom, Cup & Handle",0.46,,,0.295,"Double Bottom, Cup & Handle"
SCHW,Charles Schwab Corporation (The,Financial Services,95.45999908447266,BUY,65.96,76.0,50.0,70.0,75.0,50.0,74.0,46.3,50,50.0,50.0,50.0,70,50.0,50,50.0,55,50,0.4814,9,Enter near $95.46; place stop around $91.67 (2×ATR); target about $101.15 (3×ATR); reassess after 9 days.,Enter near $95.46; place stop around $91.67 (2×ATR); target about $101.15 (3×ATR); reassess after 9 days.,95.46,91.67,101.15,9,"RSI 57; Price below 50-day trend; Golden cross bias (50d > 200d); Patterns: Double Bottom, Cup & Handle; ML upside odds 48%",2.0,"Double Bottom, Cup & Handle",0.51,,,0.246,"Double Bottom, Cup & Handle"
